8	506	0.565
9	505	0.559
10	504	0.58
11	503	0.601
12	502	0.62
13	507	0.563
14	508	0.501
15	509	0.466
16	494	0.74
17	495	0.727
18	496	0.713
19	497	0.696
20	498	0.681
21	499	0.664
22	500	0.649
23	501	0.632
24	454	0.745
25	455	0.722
26	456	0.708
27	457	0.691
28	458	0.676
29	459	0.659
30	460	0.642
31	461	0.623
48	462	0.623
49	463	0.604
50	464	0.583
51	465	0.562
52	466	0.566
53	467	0.559
54	468	0.543
55	469	0.539
56	470	0.501
57	416	0.725
58	417	0.711
59	418	0.695
60	419	0.685
61	420	0.668
62	421	0.653
63	422	0.637
80	423	0.636
81	424	0.621
82	425	0.603
83	426	0.584
84	427	0.565
85	428	0.478
86	429	0.563
87	430	0.547
88	431	0.466
89	378	0.755
90	379	0.73
91	380	0.717
92	381	0.49
93	382	0.689
94	383	0.675
95	384	0.659
112	385	0.659
113	386	0.644
114	387	0.627
115	388	0.611
116	389	0.592
117	390	0.573
118	391	0.58
119	392	0.572
120	393	0.561
121	346	0.749
122	347	0.735
123	348	0.724
124	349	0.711
125	350	0.696
126	351	0.683
127	352	0.668
144	353	0.669
145	354	0.653
146	355	0.636
147	356	0.62
148	357	0.602
149	358	0.583
150	359	0.566
151	314	0.777
152	315	0.755
153	316	NG
154	317	0.728
155	318	0.716
156	319	0.703
157	320	0.694
158	321	0.669
159	322	0.657
176	323	0.661
177	324	0.644
178	325	0.628
179	326	0.611
180	327	0.593
181	328	0.584
182	283	0.773
183	284	0.76
184	285	NG
185	286	0.736
186	287	0.723
187	288	0.711
188	289	0.697
189	290	0.681
190	291	0.665
191	292	0.651
208	293	0.479
209	294	0.636
210	295	0.62
211	296	0.603
212	297	0.599
213	251	0.798
214	252	0.778
215	253	0.765
216	254	0.753
217	255	0.487
218	256	0.727
219	257	0.716
220	258	0.702
221	259	0.688
222	260	0.674
223	261	0.657
240	262	0.66
241	263	0.644
242	264	0.629
243	265	0.617
244	220	0.795
245	221	0.785
246	222	0.776
247	223	0.76
248	224	0.748
249	225	0.737
250	226	0.501
251	227	0.71
252	228	0.696
253	229	0.682
254	230	0.667
255	231	0.652
268	511	0.495
272	232	0.654
273	233	0.638
274	234	0.633
275	510	0.474
276	471	0.498
277	432	0.524
278	394	0.551
279	190	0.801
280	191	0.787
281	192	0.777
282	193	0.766
283	194	0.757
284	360	0.537
285	395	0.542
286	433	0.514
287	472	0.494
304	195	0.752
305	196	0.739
306	197	0.725
307	198	0.714
308	199	0.7
309	200	0.686
310	201	0.672
311	202	0.657
312	203	0.643
313	204	0.625
314	161	0.802
315	162	0.79
316	163	0.778
317	164	0.767
318	165	0.755
319	166	0.743
336	167	0.747
337	168	0.732
338	169	0.72
339	170	0.707
340	171	0.692
341	172	0.679
342	173	0.663
343	174	0.653
344	133	0.805
345	134	0.798
346	135	0.788
347	136	0.773
348	137	0.763
349	138	0.749
350	139	0.737
351	140	0.726
368	141	0.727
369	142	0.715
370	143	0.7
371	144	0.686
372	145	0.675
373	146	0.655
374	106	0.824
375	107	0.802
376	108	NG
377	109	0.782
378	110	0.769
379	111	0.757
380	112	0.529
381	113	0.732
382	114	0.721
383	115	0.706
400	116	0.71
401	117	0.695
402	118	0.672
403	82	0.819
404	83	0.8
405	84	0.789
406	85	0.49
407	86	0.765
408	87	0.759
409	88	0.738
410	89	0.727
411	90	0.711
412	91	0.707
413	92	0.689
414	93	0.667
415	61	0.805
432	62	0.796
433	63	0.784
434	64	0.775
435	65	0.761
436	66	0.751
437	67	0.738
438	68	0.726
439	69	0.713
440	70	0.698
441	43	0.801
442	44	0.78
443	45	0.771
444	46	0.76
445	47	0.747
446	48	0.735
447	49	0.723
464	50	0.726
465	51	0.712
466	28	0.802
467	29	0.783
468	30	0.773
469	31	0.761
470	32	0.749
471	33	0.735
472	34	0.722
473	16	0.788
474	17	0.769
475	18	0.759
476	19	0.747
477	20	0.735
478	21	0.715
479	7	0.779
489	513	0.491
496	8	0.773
497	9	0.762
498	10	0.751
499	1	0.784
500	2	0.766
501	3	0.748
502	512	0.489
503	473	0.505
504	434	0.524
505	396	0.546
506	361	0.56
507	329	0.562
508	266	0.592
509	71	0.682
510	35	0.705
511	11	0.726
534	474	0.508
535	435	0.527
536	397	0.548
537	362	0.56
539	298	0.574
541	235	0.605
542	175	0.633
543	119	0.659
