1,499,-64125,9742
2,500,-64125,5845
3,501,-64125,1948
4,533,-64125,-1949
5,532,-64125,-5846
6,531,-64125,-9743
7,479,-60750,15588
8,496,-60750,11691
9,497,-60750,7794
10,498,-60750,3897
11,511,-60750,0
12,530,-60750,-3898
13,529,-60750,-7795
14,528,-60750,-11692
15,575,-60750,-15589
16,473,-57375,21434
17,474,-57375,17537
18,475,-57375,13639
19,476,-57375,9742
20,477,-57375,5845
21,478,-57375,1948
22,574,-57375,-1949
23,573,-57375,-5846
24,572,-57375,-9743
25,571,-57375,-13640
26,570,-57375,-17538
27,569,-57375,-21435
28,466,-54000,27279
29,467,-54000,23382
30,468,-54000,19485
31,469,-54000,15588
32,470,-54000,11691
33,471,-54000,7794
34,472,-54000,3897
35,510,-54000,0
36,568,-54000,-3898
37,567,-54000,-7795
38,566,-54000,-11692
39,565,-54000,-15589
40,564,-54000,-19486
41,563,-54000,-23383
42,562,-54000,-27280
43,441,-50625,33125
44,442,-50625,29228
45,443,-50625,25331
46,444,-50625,21434
47,445,-50625,17537
48,446,-50625,13639
49,447,-50625,9742
50,464,-50625,5845
51,465,-50625,1948
52,561,-50625,-1949
53,560,-50625,-5846
54,607,-50625,-9743
55,606,-50625,-13640
56,605,-50625,-17538
57,604,-50625,-21435
58,603,-50625,-25332
59,602,-50625,-29229
60,601,-50625,-33126
61,415,-47250,38971
62,432,-47250,35074
63,433,-47250,31176
64,434,-47250,27279
65,435,-47250,23382
66,436,-47250,19485
67,437,-47250,15588
68,438,-47250,11691
69,439,-47250,7794
70,440,-47250,3897
71,509,-47250,0
72,600,-47250,-3898
73,599,-47250,-7795
74,598,-47250,-11692
75,597,-47250,-15589
76,596,-47250,-19486
77,595,-47250,-23383
78,594,-47250,-27280
79,593,-47250,-31177
80,592,-47250,-35075
81,639,-47250,-38972
82,403,-43875,44816
83,404,-43875,40919
84,405,-43875,37022
85,406,-43875,33125
86,407,-43875,29228
87,408,-43875,25331
88,409,-43875,21434
89,410,-43875,17537
90,411,-43875,13639
91,412,-43875,9742
92,413,-43875,5845
93,414,-43875,1948
94,638,-43875,-1949
95,637,-43875,-5846
96,636,-43875,-9743
97,635,-43875,-13640
98,634,-43875,-17538
99,633,-43875,-21435
100,632,-43875,-25332
101,631,-43875,-29229
102,630,-43875,-33126
103,629,-43875,-37023
104,628,-43875,-40920
105,627,-43875,-44817
106,374,-40500,50662
107,375,-40500,46765
108,376,-40500,42868
109,377,-40500,38971
110,378,-40500,35074
111,379,-40500,31176
112,380,-40500,27279
113,381,-40500,23382
114,382,-40500,19485
115,383,-40500,15588
116,400,-40500,11691
117,401,-40500,7794
118,402,-40500,3897
119,543,-40500,0
120,626,-40500,-3898
121,625,-40500,-7795
122,624,-40500,-11692
123,671,-40500,-15589
124,670,-40500,-19486
125,669,-40500,-23383
126,668,-40500,-27280
127,667,-40500,-31177
128,666,-40500,-35075
129,665,-40500,-38972
130,664,-40500,-42869
131,663,-40500,-46766
132,662,-40500,-50663
133,344,-37125,52611
134,345,-37125,48713
135,346,-37125,44816
136,347,-37125,40919
137,348,-37125,37022
138,349,-37125,33125
139,350,-37125,29228
140,351,-37125,25331
141,368,-37125,21434
142,369,-37125,17537
143,370,-37125,13639
144,371,-37125,9742
145,372,-37125,5845
146,373,-37125,1948
147,661,-37125,-1949
148,660,-37125,-5846
149,659,-37125,-9743
150,658,-37125,-13640
151,657,-37125,-17538
152,656,-37125,-21435
153,703,-37125,-25332
154,702,-37125,-29229
155,701,-37125,-33126
156,700,-37125,-37023
157,699,-37125,-40920
158,698,-37125,-44817
159,697,-37125,-48714
160,696,-37125,-52612
161,314,-33750,54559
162,315,-33750,50662
163,316,-33750,46765
164,317,-33750,42868
165,318,-33750,38971
166,319,-33750,35074
167,336,-33750,31176
168,337,-33750,27279
169,338,-33750,23382
170,339,-33750,19485
171,340,-33750,15588
172,341,-33750,11691
173,342,-33750,7794
174,343,-33750,3897
175,542,-33750,0
176,695,-33750,-3898
177,694,-33750,-7795
178,693,-33750,-11692
